t;PPR3_05folio;PPR1_06folio;PPR2_06folio;PPR3_06folio;PPR1_07folio;PPR2_07folio;PPR3_07folio;PPR1_08folio;PPR2_08folio;PPR3_08folio;PPR4_08folio;PPR1_09folio;PPR2_09folio;PPR3_09folio;PPR1_10folio;PPR2_10folio;PPR3_10folio;PPR1_11folio;PPR2_11folio;PPR3_11folio;PPR1_12folio;PPR2_12folio;PPR3_12folio;PPR1_13folio;PPR2_13folio;PPR3_13folio;PPR4_13folio;PPR1_14folio;PPR2_14folio;PPR3_14folio;PPR4_14folio;PPR1_15folio;PPR2_15folio;PPR3_15folio;PPR4_15folio;PPR1_16folio;PPR2_16folio;PPR3_16folio;PPR3_05gap;PPR1_06gap;PPR2_06gap;PPR3_06gap;PPR1_07gap;PPR2_07gap;PPR3_07gap;PPR1_08gap;PPR2_08gap;PPR3_08gap;PPR4_08gap;PPR1_09gap;PPR2_09gap;PPR3_09gap;PPR1_10gap;PPR2_10gap;PPR3_10gap;PPR1_11gap;PPR2_11gap;PPR3_11gap;PPR1_12gap;PPR2_12gap;PPR3_12gap;PPR1_13gap;PPR2_13gap;PPR3_13gap;PPR4_13gap;PPR1_14gap;PPR2_14gap;PPR3_14gap;PPR4_14gap;PPR1_15gap;PPR2_15gap;PPR3_15gap;PPR4_15gap;PPR1_16gap;PPR2_16gap;PPR3_16gap;PPR2_06cpi;PPR3_06cpi;PPR1_07cpi;PPR2_07cpi;PPR3_07cpi;PPR1_08cpi;PPR2_08cpi;PPR3_08cpi;PPR4_08cpi;PPR1_09cpi;PPR2_09cpi;PPR3_09cpi;PPR1_10cpi;PPR2_10cpi;PPR3_10cpi;PPR1_11cpi;PPR2_11cpi;PPR3_11cpi;PPR1_12cpi;PPR2_12cpi;PPR3_12cpi;PPR1_13cpi;PPR2_13cpi;PPR3_13cpi;PPR4_13cpi;PPR1_14cpi;PPR2_14cpi;PPR3_14cpi;PPR4_14cpi;PPR1_15cpi;PPR2_15cpi;PPR3_15cpi;PPR4_15cpi;PPR1_16cpi;PPR2_16cpi;PPR3_16cpi;PPR3_05jae;PPR1_06jae;PPR2_06jae;PPR3_06jae;PPR1_07jae;PPR2_07jae;PPR3_07jae;PPR1_08jae;PPR2_08xe;PPR3_08xe;PPR4_08xe;PPR1_09xe;PPR2_09xe;PPR3_09xe;PPR1_10xe;PPR2_10xe;PPR3_10xe;PPR1_11xe;PPR2_11xe;PPR3_11xe;PPR1_12xe;PPR2_12xe;PPR3_12xe;PPR1_13xe;PPR2_13xe;PPR3_13xe;PPR4_13xe;PPR1_14xe;PPR2_14xe;PPR3_14xe;PPR4_14xe;PPR1_15xe;PPR2_15xe;PPR3_15xe;PPR4_15xe;PPR1_16xe;PPR2_16xe;PPR3_16xe;;Foliorente;Produksjonsgap;CPI;CPI-jae
31.03.2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,0195;-1,4;-1,399825022;0,092336103
30.06.2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,75;-1,2;0,860320285;0,214154412
30.09.2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,75;-0,9;1,190178571;0,276581818
31.12.2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,75;-0,7;1,244079514;0,859116022
31.03.2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,75;-0,4;1,005323869;0,73800738
30.06.2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,75;-0,1;1,528663544;1,008868875
30.09.2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0,2;1,764711073;1,225555545
31.12.2005;2,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,1602;0,5;1,785259758;1,065432335
31.03.2006;2,4;2,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,86;0,73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,6;1,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,2923;0,65;2,226068012;0,915750916
30.06.2006;2,6;2,54;2,59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,95;0,97;1,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,6;1,25;0,96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,5905;1,05;2,374456994;0,787229986
30.09.2006;2,8;2,79;2,88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,01;1,16;1,37;1,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,7;1,38;1,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,8731;1,45;2,225728976;0,514986376
31.12.2006;3;3,02;3,17;3,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,04;1,27;1,5;2,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,48;2,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,7;1,38;1,2;0,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,1984;2,1;2,500711409;0,842818428
31.03.2007;3,1;3,2;3,41;3,51;3,73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,02;1,3;1,54;2,15;2,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,49;2,31;0,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,9;1,65;1,34;1,01;1,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,7266;2,7;1,031220191;1,209618875
30.06.2007;3,3;3,36;3,64;3,89;4,09;4,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,99;1,33;1,54;2,19;2,34;2,43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,42;1,03;0,36;0,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1,65;1,46;1,15;1,3;1,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,1017;3,1;0,339463478;1,351351351
30.09.2007;3,5;3,53;3,85;4,26;4,51;4,64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,96;1,35;1,52;2,16;2,31;2,43;2,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,58;0,61;0,37;0,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,1;1,72;1,53;1,3;1,56;1,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,6308;3,25;0,169635284;1,595778326
31.12.2007;3,7;3,72;4,05;4,55;4,81;5,06;5,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,91;1,36;1,48;2,07;2,23;2,43;2,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,61;0,73;0,97;1,19;1,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,2;1,85;1,62;1,51;1,68;1,67;1,52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,0397;3,3;1,373804336;1,582865282
31.03.2008;3,9;3,88;4,22;4,78;5;5,37;5,25;5,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,87;1,36;1,43;1,94;2,05;2,29;2,8;3,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,91;1,34;2,45;3;3,57;3,58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,3;2,2;1,9;1,88;1,84;1,86;1,74;2,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,25;3,09;3,543511359;2,092654192
30.06.2008;4,1;4,05;4,39;4,97;5,1;5,62;5,37;5,44;5,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,82;1,34;1,38;1,78;1,87;2,07;2,54;2,79;2,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,11;1,83;2,45;3,12;3,51;2,88;3,37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,4;2,28;2,14;2,07;1,97;1,98;1,84;2,25;3,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,4444;2,69;3,213992709;2,370666667
30.09.2008;4,3;4,21;4,55;5,12;5,2;5,75;5,37;5,63;5,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,77;1,3;1,32;1,61;1,68;1,83;2,2;2,35;2,35;2,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,19;2,09;2,36;2,85;3,56;3,31;4,77;4,71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,5;2,31;2,16;2,27;2,08;2,04;1,89;2,27;3,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,75;2,05;4,713801863;2,935081337
31.12.2008;4,5;4,35;4,69;5,23;5,26;5,76;5,37;5,61;5,84;4,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,73;1,25;1,26;1,42;1,5;1,59;1,87;1,83;1,9;1,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,21;2,32;2,36;2,66;2,85;2,72;4,32;3,88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,5;2,39;2,19;2,36;2,13;2,11;1,93;2,14;3,19;3,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,8095;0,28;3,595850622;2,880952381
31.03.2009;;4,49;4,81;5,3;5,31;5,76;5,31;5,5;5,88;4,49;2,69;2,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,19;1,18;1,23;1,32;1,36;1,58;1,49;1,57;0,35;;-0,55;;;;;;;;;;;;;;;;;;;;;;;;;;;2,32;2,41;2,29;2,3;2,09;2,29;3,78;3,26;;2,43;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,46;2,35;2,42;2,29;2,3;2,09;2,18;3,02;3,4;;2,85;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,6587;-0,52;2,437301307;2,839277403
30.06.2009;;4,61;4,94;5,35;5,34;5,76;5,25;5,34;5,88;4,24;2,25;1,68;1,66;;;;;;;;;;;;;;;;;;;;;;;;;;;1,12;1,12;1,05;1,15;1,16;1,33;1,26;1,21;-0,39;;-1,23;-1,01;;;;;;;;;;;;;;;;;;;;;;;;;;2,36;2,49;2,34;2,35;2,12;3,08;3,96;3,78;;2,66;2,94;;;;;;;;;;;;;;;;;;;;;;;;;;;2,5;2,43;2,49;2,34;2,35;2,12;2,2;2,97;3,25;;2,7;2,84;;;;;;;;;;;;;;;;;;;;;;;;;;;1,6483;-0,91;3,114184961;2,951945146
30.09.2009;;4,72;5,06;5,38;5,35;5,71;5,2;5,16;5,81;4,02;2,01;1,3;1,25;;;;;;;;;;;;;;;;;;;;;;;;;;;1,06;1,06;0,87;1;0,97;1,12;1,04;0,88;-0,62;;-1,67;-1,5;-1,15;;;;;;;;;;;;;;;;;;;;;;;;;2,4;2,52;2,44;2,46;2,29;2,81;2,75;2,76;;1,55;1,78;1,75;;;;;;;;;;;;;;;;;;;;;;;;;;2,54;2,47;2,54;2,44;2,46;2,29;2,28;2,94;3,18;;2,28;2,35;;;;;;;;;;;;;;;;;;;;;;;;;;;1,25;-1,1;1,7517473;2,419649826
31.12.2009;;4,83;5,18;5,39;5,32;5,65;5,15;4,98;5,67;3,87;1,95;1,04;1,25;1,44;;;;;;;;;;;;;;;;;;;;;;;;;;0,99;1,01;0,7;0,86;0,82;0,95;0,87;0,63;-0,74;;-1,88;-1,72;-1,1;;;;;;;;;;;;;;;;;;;;;;;;;2,49;2,54;2,48;2,5;2,35;2,44;2,26;2,65;;1,21;1,41;1,37;;;;;;;;;;;;;;;;;;;;;;;;;;2,57;2,53;2,56;2,48;2,5;2,35;2,37;2,89;3,08;;2,06;2;2,25;;;;;;;;;;;;;;;;;;;;;;;;;;1,457;-1,05;1,388788755;2,285422042
31.03.2010;;;;;5,3;5,58;5,12;4,84;5,52;3,78;2,02;1,06;1,25;1,71;1,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,74;0,68;0,8;0,7;0,46;-0,74;;-2,01;-1,72;-0,87;-0,97;;;;;;;;;;;;;;;;;;;;;;;;;;2,57;2,6;2,54;2,49;2,49;2,79;;1,89;1,83;1,71;2,97;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,57;2,6;2,54;2,48;2,86;2,98;;1,81;1,7;1,92;2,15;;;;;;;;;;;;;;;;;;;;;;;;;1,75;-0,97;2,94039027;1,964133219
30.06.2010;;;;;5,26;5,49;5,09;4,75;5,38;3,76;2,16;1,2;1,4;1,97;1,9;1,9;;;;;;;;;;;;;;;;;;;;;;;;;;;0,63;0,56;0,68;0,57;0,35;-0,65;;-1,85;-1,55;-0,67;-0,85;-0,95;;;;;;;;;;;;;;;;;;;;;;;;;2,62;2,6;2,58;2,57;2,5;2,71;;1,84;1,72;1,51;2,3;2,56;;;;;;;;;;;;;;;;;;;;;;;;;;;2,62;2,6;2,58;2,56;2,79;2,87;;1,76;1,82;1,48;1,72;1,8;;;;;;;;;;;;;;;;;;;;;;;;1,9068;-0,95;2,59602649;1,49001968
30.09.2010;;;;;5,26;5,42;5,07;4,71;5,27;3,79;2,34;1,46;1,68;2,33;2,02;2;;;;;;;;;;;;;;;;;;;;;;;;;;;0,54;0,46;0,58;0,46;0,26;-0,51;;-1,56;-1,26;-0,46;-0,52;-0,77;-0,77;;;;;;;;;;;;;;;;;;;;;;;;2,62;2,6;2,62;2,67;2,52;2,65;;1,88;1,84;1,89;2,17;2,18;1,85;;;;;;;;;;;;;;;;;;;;;;;;;;2,62;2,6;2,62;2,66;2,73;2,77;;1,79;1,9;1,89;1,73;1,74;;;;;;;;;;;;;;;;;;;;;;;;2;-0,77;1,854304636;1,181102362
31.12.2010;;;;;5,23;5,34;5,06;4,71;5,19;3,86;2,56;1,77;1,99;2,59;2,27;2,02;2;;;;;;;;;;;;;;;;;;;;;;;;;;0,45;0,38;0,49;0,38;0,23;-0,35;;-1,28;-0,97;-0,24;-0,32;-0,64;-0,6;;;;;;;;;;;;;;;;;;;;;;;;2,62;2,6;2,62;2,72;2,54;2,58;;1,94;2,01;1,91;2,24;2,28;2,03;;;;;;;;;;;;;;;;;;;;;;;;;;2,62;2,6;2,62;2,72;2,69;2,67;;1,86;2,01;1,91;1,71;1,69;1,38;;;;;;;;;;;;;;;;;;;;;;;2;-0,6;2,212272847;1,005586592
31.03.2011;;;;;;;;4,74;5,13;3,96;2,8;2,1;2,38;2,9;2,46;2,22;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,31;0,18;-0,22;;-1,02;-0,67;-0,07;-0,25;-0,54;-0,4;-0,4;;;;;;;;;;;;;;;;;;;;;;;;;;2,75;2,56;2,53;;2,03;2,1;2,06;0,95;0,95;0,81;1,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,75;2,66;2,6;;1,95;2,09;1,99;1,8;1,74;1,29;1,08;;;;;;;;;;;;;;;;;;;;;;2;-0,3;1,402233186;0,753768844
30.06.2011;;;;;;;;4,78;5,1;4,07;3,04;2,44;2,73;3,29;2,7;2,27;2,01;2,08;2,13;;;;;;;;;;;;;;;;;;;;;;;;;;;0,25;0,14;-0,12;;-0,76;-0,4;0,01;-0,25;-0,38;-0,24;-0,22;0;;;;;;;;;;;;;;;;;;;;;;;;;2,74;2,54;2,48;;2,11;2,19;2,13;1,68;1,44;0,97;1,22;1,58;;;;;;;;;;;;;;;;;;;;;;;;;;;2,74;2,6;2,52;;2,04;2,17;2,07;2,01;1,97;1,44;1,17;1,37;;;;;;;;;;;;;;;;;;;;;2,1356;-0,1;1,420087787;0,997229917
30.09.2011;;;;;;;;4,82;5,09;4,19;3,28;2,77;3,03;3,59;3,01;2,5;2,19;2,25;2,39;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;0,1;-0,07;;-0,52;-0,22;0,04;-0,24;-0,29;-0,1;0,1;0,19;-0,05;;;;;;;;;;;;;;;;;;;;;;;;2,73;2,52;2,46;;2,2;2,27;2,24;2,05;1,99;1,5;1,74;1,99;1,48;;;;;;;;;;;;;;;;;;;;;;;;;;2,73;2,55;2,48;;2,14;2,25;2,18;2,2;2,14;1,66;1,44;1,42;;;;;;;;;;;;;;;;;;;;;2,25;-0,05;1,482444733;1,056142301
31.12.2011;;;;;;;;4,85;5,09;4,31;3,54;3,07;3,28;3,83;3,31;2,74;2,45;2,49;2,65;2,25;;;;;;;;;;;;;;;;;;;;;;;;;;0,16;0,07;-0,06;;-0,35;-0,12;0,06;-0,22;-0,17;0,02;0,17;0,5;0,05;;;;;;;;;;;;;;;;;;;;;;;;2,68;2,52;2,43;;2,28;2,34;2,33;2,25;2,03;1,66;1,5;1,64;1,2;;;;;;;;;;;;;;;;;;;;;;;;;;2,68;2,53;2,45;;2,23;2,32;2,28;2,35;2,18;1,79;1,53;1,46;1,15;;;;;;;;;;;;;;;;;;;;2,1641;0,1;0,901829425;1,078539823
31.03.2012;;;;;;;;;;;;3,33;3,56;4,06;3,58;2,96;2,77;2,96;2,92;2,25;1,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,22;-0,03;0,1;-0,2;-0,12;0,18;0,37;0,64;0,1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;2,36;2,4;2,41;2,26;2,15;1,83;0,98;1,08;0,95;0,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,32;2,38;2,37;2,33;2,22;1,89;1,74;1,69;1,43;1,19;;;;;;;;;;;;;;;;;;;1,7038;0,2;0,819462228;1,385425326
30.06.2012;;;;;;;;;;;;3,55;3,79;4,27;3,84;3,17;3,04;3,3;3,22;2,25;1,5;1,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,1;0;0,13;-0,16;-0,01;0,3;0,48;0,66;0,3;0,11;0,37;;;;;;;;;;;;;;;;;;;;;;;;;;2,42;2,45;2,46;2,36;2,16;1,89;1,7;1,46;1,15;0,58;0,537785358;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,39;2,43;2,43;2,41;2,21;1,94;1,89;1,62;1,42;1;1,025029984;;;;;;;;;;;;;;;;;;1,5;0,25;0,432790224;1,124520022
